Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia tardía,femenino,sí,alta,grande,licenciatura,primaria,casado,0.7,con familiares,nuclear,1,unisexo,privado,3,menos de 1 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,nunca,nunca,ocasional,nunca,casi nunca,a veces,rara vez,bastante a menudo,bajo
adolescencia tardía,masculino,sí,clase media-baja,grande,secundaria,primaria,separado,1.6,con familiares,conjunto,1,unisexo,público,1,menos de 1 km,casi todos los días,transporte privado,moderado,grave,ocasional,regular,regular,regular,casi nunca,casi nunca,bastante a menudo,rara vez,bajo
adolescencia tardía,masculino,sí,alta,mediano,secundaria,sin educación,separado,2.7,con familiares,conjunto,3,mixto,privado,2,más de 5 km,dos veces a la semana,transporte público,bajo,grave,ocasional,nunca,nunca,regular,casi siempre,casi siempre,rara vez,bastante a menudo,bajo
adolescencia media,masculino,sí,alta,pequeño,secundaria,preparatoria,divorciado,3.4,con familiares,nuclear,3,unisexo,privado,4,menos de 1 km,dos veces a la semana,transporte privado,bajo,muy poco estrés,nunca,nunca,nunca,ocasional,casi nunca,casi siempre,rara vez,rara vez,bajo
adolescencia tardía,masculino,no,alta,pequeño,sin educación,secundaria,casado,1.7,albergue,nuclear,4,unisexo,privado,4,1–3 km,una vez a la semana,a pie,bajo,moderado,nunca,ocasional,regular,nunca,casi nunca,casi nunca,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,sí,clase media-alta,mediano,primaria,posgrado,viudo,5.4,albergue,conjunto,3,unisexo,público,3,1–3 km,una vez a la semana,transporte público,bajo,mayor,ocasional,ocasional,nunca,ocasional,algunas veces,a veces,rara vez,casi nunca,bajo
adolescencia tardía,femenino,sí,clase media-baja,grande,preparatoria,primaria,casado,0.7,con familiares,nuclear,3,mixto,privado,2,más de 5 km,casi todos los días,a pie,alto,leve,nunca,ocasional,ocasional,ocasional,casi siempre,casi nunca,bastante a menudo,casi nunca,bajo
otros,femenino,sí,clase baja,pequeño,posgrado,preparatoria,viudo,3.1,con familiares,nuclear,6,unisexo,privado,3,más de 5 km,casi todos los días,a pie,alto,mayor,nunca,nunca,ocasional,regular,casi nunca,a veces,bastante a menudo,casi nunca,moderado
otros,femenino,no,clase baja,grande,secundaria,primaria,soltero,3.1,albergue,nuclear,1,mixto,público,4,1–3 km,una vez a la semana,transporte privado,bajo,moderado,regular,regular,regular,regular,rara vez,rara vez,casi siempre,bastante a menudo,bajo
otros,femenino,sí,clase media-alta,grande,posgrado,sin educación,separado,3.8,albergue,nuclear,3,unisexo,privado,6,3–5 km,una vez a la semana,a pie,bajo,leve,regular,ocasional,regular,regular,casi siempre,a veces,algunas veces,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase media-alta,mediano,secundaria,sin educación,soltero,0.7,albergue,conjunto,6,unisexo,público,7,menos de 1 km,dos veces a la semana,a pie,moderado,moderado,ocasional,ocasional,regular,regular,bastante a menudo,bastante a menudo,bastante a menudo,algunas veces,bajo
adolescencia media,femenino,no,alta,mediano,posgrado,licenciatura,separado,1.5,con padres,nuclear,2,unisexo,privado,4,menos de 1 km,nunca,a pie,moderado,muy poco estrés,ocasional,regular,nunca,regular,casi nunca,a veces,rara vez,algunas veces,bajo
adolescencia tardía,masculino,no,clase media-baja,grande,sin educación,posgrado,viudo,4.0,con padres,conjunto,3,mixto,público,3,3–5 km,casi todos los días,transporte público,alto,grave,ocasional,regular,ocasional,ocasional,rara vez,rara vez,algunas veces,casi nunca,moderado
otros,femenino,sí,alta,grande,sin educación,sin educación,soltero,5.4,con familiares,conjunto,1,unisexo,privado,1,más de 5 km,nunca,a pie,bajo,moderado,ocasional,nunca,nunca,ocasional,bastante a menudo,rara vez,algunas veces,algunas veces,bajo
otros,masculino,no,clase media-alta,grande,posgrado,sin educación,casado,2.0,con familiares,nuclear,2,mixto,privado,7,3–5 km,una vez a la semana,a pie,moderado,moderado,regular,regular,ocasional,nunca,casi siempre,rara vez,casi siempre,casi siempre,bajo
adolescencia tardía,masculino,sí,clase baja,pequeño,licenciatura,sin educación,divorciado,3.9,con padres,conjunto,6,mixto,público,1,3–5 km,casi todos los días,transporte público,alto,moderado,ocasional,ocasional,regular,regular,casi siempre,bastante a menudo,algunas veces,rara vez,moderado
adolescencia media,femenino,no,clase media-alta,grande,sin educación,preparatoria,viudo,2.8,con padres,conjunto,1,mixto,privado,6,1–3 km,nunca,a pie,alto,muy poco estrés,nunca,ocasional,nunca,ocasional,casi siempre,bastante a menudo,bastante a menudo,rara vez,moderado
adolescencia media,masculino,sí,clase baja,pequeño,primaria,posgrado,divorciado,2.3,con familiares,nuclear,6,mixto,público,4,más de 5 km,casi todos los días,transporte público,bajo,moderado,ocasional,nunca,ocasional,nunca,casi siempre,a veces,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,no,clase media-alta,mediano,primaria,primaria,separado,4.3,con padres,conjunto,2,unisexo,público,3,1–3 km,dos veces a la semana,transporte privado,moderado,grave,regular,nunca,nunca,ocasional,algunas veces,casi nunca,algunas veces,algunas veces,moderado
adolescencia temprana,femenino,sí,alta,pequeño,licenciatura,sin educación,casado,3.1,albergue,nuclear,5,mixto,privado,2,más de 5 km,dos veces a la semana,transporte público,moderado,grave,regular,regular,regular,regular,bastante a menudo,bastante a menudo,bastante a menudo,algunas veces,moderado
adolescencia media,masculino,sí,clase media-baja,pequeño,sin educación,primaria,separado,2.7,albergue,nuclear,2,unisexo,privado,4,1–3 km,una vez a la semana,transporte público,alto,muy poco estrés,regular,regular,nunca,nunca,bastante a menudo,bastante a menudo,algunas veces,casi nunca,moderado
adolescencia temprana,masculino,no,clase baja,mediano,preparatoria,posgrado,casado,3.6,con padres,nuclear,6,unisexo,privado,0,1–3 km,nunca,a pie,bajo,moderado,nunca,ocasional,regular,ocasional,rara vez,casi siempre,bastante a menudo,bastante a menudo,bajo
adolescencia tardía,masculino,no,alta,pequeño,secundaria,preparatoria,viudo,4.6,con familiares,nuclear,4,mixto,público,4,1–3 km,nunca,transporte privado,bajo,moderado,ocasional,ocasional,ocasional,regular,rara vez,a veces,casi siempre,algunas veces,bajo
adolescencia temprana,masculino,sí,alta,grande,licenciatura,licenciatura,divorciado,1.9,con padres,conjunto,4,mixto,público,2,menos de 1 km,casi todos los días,a pie,bajo,muy poco estrés,nunca,regular,ocasional,ocasional,bastante a menudo,casi nunca,algunas veces,casi siempre,bajo
otros,masculino,no,clase media-baja,pequeño,secundaria,sin educación,casado,1.6,con padres,conjunto,3,unisexo,privado,2,3–5 km,nunca,transporte privado,alto,moderado,regular,regular,nunca,regular,algunas veces,casi nunca,casi siempre,algunas veces,bajo
adolescencia media,femenino,no,clase media-baja,mediano,secundaria,primaria,divorciado,3.1,con familiares,nuclear,5,mixto,privado,5,más de 5 km,nunca,transporte público,bajo,mayor,regular,ocasional,regular,ocasional,algunas veces,bastante a menudo,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,no,clase baja,mediano,posgrado,licenciatura,casado,3.3,con familiares,nuclear,1,mixto,privado,4,3–5 km,casi todos los días,transporte público,moderado,grave,ocasional,regular,ocasional,nunca,bastante a menudo,rara vez,rara vez,algunas veces,moderado
otros,masculino,sí,clase baja,pequeño,secundaria,licenciatura,soltero,2.2,con familiares,nuclear,4,mixto,privado,4,1–3 km,una vez a la semana,a pie,alto,muy poco estrés,nunca,regular,regular,ocasional,bastante a menudo,rara vez,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase media-baja,grande,sin educación,primaria,separado,4.3,con familiares,nuclear,4,mixto,privado,2,3–5 km,dos veces a la semana,a pie,alto,leve,regular,regular,regular,ocasional,bastante a menudo,bastante a menudo,algunas veces,algunas veces,moderado
otros,masculino,no,clase media-baja,grande,secundaria,primaria,casado,0.2,albergue,conjunto,2,mixto,público,2,más de 5 km,nunca,a pie,bajo,mayor,nunca,nunca,ocasional,nunca,rara vez,casi nunca,algunas veces,bastante a menudo,bajo
adolescencia media,masculino,sí,clase media-baja,mediano,sin educación,primaria,viudo,1.0,con padres,conjunto,1,unisexo,privado,1,1–3 km,nunca,transporte público,bajo,leve,regular,nunca,ocasional,nunca,casi nunca,rara vez,bastante a menudo,casi nunca,bajo
otros,masculino,sí,clase baja,pequeño,licenciatura,primaria,casado,4.6,albergue,conjunto,2,unisexo,público,2,menos de 1 km,nunca,transporte privado,moderado,muy poco estrés,regular,regular,nunca,nunca,algunas veces,bastante a menudo,algunas veces,casi siempre,moderado
adolescencia tardía,femenino,no,clase baja,grande,posgrado,posgrado,divorciado,1.4,con padres,conjunto,3,mixto,privado,3,1–3 km,dos veces a la semana,transporte privado,moderado,moderado,ocasional,nunca,nunca,regular,rara vez,rara vez,algunas veces,casi nunca,bajo
adolescencia temprana,masculino,sí,clase baja,grande,preparatoria,primaria,soltero,2.7,con padres,nuclear,2,mixto,público,2,más de 5 km,una vez a la semana,transporte público,alto,leve,nunca,regular,nunca,ocasional,casi nunca,rara vez,casi siempre,casi nunca,moderado
adolescencia tardía,femenino,no,clase baja,pequeño,licenciatura,posgrado,viudo,0.6,albergue,conjunto,3,unisexo,público,3,3–5 km,nunca,a pie,moderado,moderado,nunca,ocasional,nunca,regular,algunas veces,bastante a menudo,algunas veces,bastante a menudo,bajo
otros,femenino,no,clase baja,grande,preparatoria,posgrado,soltero,1.8,con padres,nuclear,1,unisexo,privado,3,menos de 1 km,nunca,transporte privado,moderado,leve,nunca,nunca,regular,nunca,algunas veces,casi nunca,rara vez,rara vez,bajo
adolescencia media,masculino,no,clase baja,grande,licenciatura,secundaria,separado,3.0,con padres,conjunto,3,unisexo,público,1,1–3 km,nunca,transporte privado,moderado,moderado,ocasional,ocasional,regular,nunca,casi siempre,bastante a menudo,rara vez,casi siempre,moderado
adolescencia temprana,femenino,no,clase media-alta,grande,preparatoria,primaria,casado,3.1,con familiares,nuclear,4,unisexo,privado,1,1–3 km,una vez a la semana,a pie,bajo,grave,regular,nunca,nunca,regular,casi nunca,a veces,casi siempre,casi siempre,bajo
adolescencia temprana,masculino,sí,clase media-alta,pequeño,posgrado,secundaria,divorciado,2.2,con familiares,nuclear,2,unisexo,público,2,menos de 1 km,una vez a la semana,transporte público,bajo,leve,ocasional,ocasional,regular,nunca,rara vez,rara vez,casi siempre,casi nunca,bajo
adolescencia media,femenino,sí,clase media-baja,grande,secundaria,sin educación,viudo,2.9,con padres,nuclear,2,mixto,privado,5,1–3 km,dos veces a la semana,transporte privado,moderado,mayor,nunca,regular,nunca,ocasional,bastante a menudo,casi nunca,algunas veces,rara vez,moderado
otros,masculino,no,clase media-baja,mediano,sin educación,sin educación,casado,3.1,con familiares,conjunto,6,unisexo,privado,6,3–5 km,dos veces a la semana,a pie,alto,mayor,nunca,nunca,ocasional,ocasional,casi nunca,a veces,casi siempre,bastante a menudo,moderado
adolescencia temprana,femenino,sí,clase media-baja,pequeño,primaria,posgrado,viudo,0.7,con padres,conjunto,3,unisexo,público,1,3–5 km,nunca,a pie,bajo,moderado,nunca,regular,regular,ocasional,casi siempre,bastante a menudo,rara vez,casi siempre,bajo
adolescencia temprana,femenino,no,clase baja,grande,preparatoria,posgrado,soltero,5.3,con padres,conjunto,1,unisexo,privado,3,más de 5 km,dos veces a la semana,transporte público,alto,grave,ocasional,ocasional,ocasional,nunca,bastante a menudo,bastante a menudo,algunas veces,algunas veces,moderado
otros,femenino,no,alta,grande,sin educación,posgrado,separado,4.8,con padres,nuclear,4,unisexo,privado,3,más de 5 km,casi todos los días,transporte privado,alto,muy poco estrés,regular,nunca,regular,nunca,casi nunca,a veces,algunas veces,algunas veces,alto
adolescencia tardía,masculino,no,clase baja,grande,primaria,secundaria,divorciado,1.5,albergue,conjunto,4,unisexo,privado,1,1–3 km,dos veces a la semana,transporte público,alto,grave,regular,nunca,regular,regular,rara vez,rara vez,algunas veces,casi siempre,bajo
otros,femenino,sí,clase baja,mediano,primaria,preparatoria,soltero,2.4,con familiares,conjunto,5,unisexo,privado,7,1–3 km,nunca,transporte público,bajo,grave,regular,regular,nunca,ocasional,rara vez,a veces,bastante a menudo,casi siempre,bajo
otros,masculino,sí,clase media-alta,grande,primaria,primaria,divorciado,1.2,con familiares,nuclear,2,mixto,privado,4,menos de 1 km,nunca,a pie,moderado,mayor,ocasional,regular,nunca,nunca,bastante a menudo,rara vez,casi nunca,algunas veces,bajo
otros,masculino,sí,clase media-baja,mediano,preparatoria,sin educación,separado,2.5,con padres,nuclear,5,unisexo,privado,3,menos de 1 km,casi todos los días,a pie,alto,moderado,ocasional,nunca,nunca,nunca,casi siempre,casi siempre,casi siempre,rara vez,moderado
adolescencia media,femenino,no,clase media-alta,mediano,sin educación,secundaria,separado,3.2,con padres,conjunto,4,mixto,público,2,más de 5 km,dos veces a la semana,transporte público,moderado,grave,ocasional,regular,regular,regular,algunas veces,casi siempre,bastante a menudo,casi siempre,moderado
adolescencia tardía,masculino,sí,clase baja,grande,preparatoria,licenciatura,separado,3.0,con familiares,nuclear,3,mixto,privado,1,3–5 km,dos veces a la semana,a pie,bajo,grave,ocasional,ocasional,ocasional,nunca,casi siempre,casi nunca,rara vez,bastante a menudo,bajo
otros,masculino,sí,clase media-alta,mediano,licenciatura,preparatoria,separado,2.2,albergue,nuclear,6,mixto,privado,1,menos de 1 km,casi todos los días,transporte privado,bajo,mayor,regular,ocasional,regular,regular,bastante a menudo,casi siempre,casi nunca,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,secundaria,sin educación,casado,1.8,con familiares,nuclear,6,mixto,público,0,3–5 km,nunca,transporte público,moderado,leve,ocasional,ocasional,ocasional,ocasional,casi nunca,casi nunca,rara vez,casi siempre,bajo
adolescencia temprana,femenino,sí,clase baja,mediano,preparatoria,sin educación,casado,1.9,con padres,conjunto,2,mixto,privado,1,menos de 1 km,dos veces a la semana,a pie,alto,muy poco estrés,ocasional,ocasional,regular,regular,casi nunca,bastante a menudo,casi siempre,casi siempre,bajo
adolescencia media,masculino,no,clase media-baja,mediano,licenciatura,sin educación,viudo,1.0,con familiares,conjunto,6,unisexo,privado,0,1–3 km,nunca,transporte privado,moderado,mayor,nunca,ocasional,ocasional,ocasional,algunas veces,bastante a menudo,rara vez,rara vez,bajo
adolescencia temprana,femenino,sí,clase media-baja,mediano,preparatoria,posgrado,separado,3.7,con padres,nuclear,4,mixto,privado,1,3–5 km,dos veces a la semana,a pie,moderado,grave,regular,regular,nunca,nunca,casi siempre,rara vez,casi siempre,casi nunca,moderado
adolescencia temprana,femenino,no,clase media-baja,pequeño,sin educación,preparatoria,soltero,2.5,con padres,conjunto,4,unisexo,privado,6,3–5 km,casi todos los días,transporte público,bajo,mayor,ocasional,regular,ocasional,regular,algunas veces,a veces,algunas veces,casi nunca,bajo
adolescencia temprana,femenino,sí,clase media-alta,mediano,sin educación,primaria,viudo,3.6,albergue,conjunto,3,mixto,privado,3,3–5 km,una vez a la semana,a pie,alto,moderado,ocasional,regular,regular,nunca,casi siempre,bastante a menudo,bastante a menudo,casi nunca,moderado
adolescencia media,masculino,no,clase baja,mediano,preparatoria,preparatoria,casado,4.9,con familiares,nuclear,6,unisexo,público,5,3–5 km,una vez a la semana,transporte público,bajo,leve,regular,regular,nunca,ocasional,bastante a menudo,a veces,casi siempre,bastante a menudo,bajo
adolescencia temprana,masculino,sí,clase media-baja,mediano,sin educación,primaria,soltero,4.7,albergue,nuclear,2,mixto,privado,2,más de 5 km,dos veces a la semana,a pie,moderado,muy poco estrés,ocasional,ocasional,ocasional,nunca,casi siempre,casi siempre,algunas veces,algunas veces,moderado
adolescencia temprana,masculino,sí,clase media-baja,mediano,primaria,licenciatura,divorciado,2.8,con familiares,conjunto,5,mixto,privado,4,más de 5 km,nunca,transporte privado,bajo,mayor,ocasional,ocasional,nunca,ocasional,algunas veces,a veces,algunas veces,casi siempre,bajo
otros,masculino,no,clase media-baja,mediano,sin educación,secundaria,viudo,2.5,albergue,conjunto,5,mixto,privado,1,3–5 km,dos veces a la semana,transporte privado,bajo,grave,regular,ocasional,regular,regular,bastante a menudo,bastante a menudo,rara vez,casi siempre,bajo
adolescencia media,masculino,no,clase media-baja,grande,posgrado,secundaria,separado,1.6,albergue,conjunto,5,mixto,privado,8,menos de 1 km,casi todos los días,transporte privado,moderado,leve,ocasional,ocasional,nunca,regular,bastante a menudo,rara vez,casi siempre,casi siempre,bajo
